Song Title,Artist,Release Date,Angella,Favorites,Pace: Upbeat,Pace: Medium,Pace: Slow,Sing-Along,Love Song,Processional Ideas,Recessional Ideas,First Dance,Father/Daughter,Mother/Son,Folk,Pop,Country,Rock,Indie,Alternative, Reggae,Soul,Funk,Punk,Acoustic,R&B,Children,Blues,Jazz,Dance,International,Rap,Religious,Vocal,Hip Hop,Singer-Songwriter,Bluegrass,Jam,Classical,Link
No Diggety,Blackstreet,9/30/1996,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/3a60462d-cb85-49ea-bb8b-fb697ce81c41/
All The Small Things,Blink 182,6/1/1999,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/a0dd819c-2a73-4277-8ef2-c1bff11378a3/
I Miss You,Blink 182,2/2/2004,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/2acf813b-a95f-4ea5-9dd1-25bc4beb150c/
What's My Age Again,Blink 182,6/1/1999,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/defa3b89-2cd7-4558-bbdb-b701206818ea/
Don't Think Twice It's Alright,Bob Dylan,8/1/1963,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/3cb4a788-c128-40ba-a2d9-0cf95d11969b/
It Ain't Me Babe,Bob Dylan,8/8/1964,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/d74e5620-aee0-4d3e-a446-cdbed4ee591c/
Mr. Tambourine Man,Bob Dylan,3/22/1965,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/07770536-a9f5-4818-b911-cc803ff6362d/
Buffalo Soldier,Bob Marley,5/23/1983,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/f563c3d9-4501-406a-bf5c-f66e8f3843b7/
Could You Be Loved,Bob Marley,6/10/1980,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/303ab10b-2f8b-452d-8cc8-ed48ed4f9330/
Is This Love,Bob Marley,3/23/1978,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/38f8b145-0f0d-4c53-945b-beccb6c6e8c2/
